Cluster,feature,term,df,sumsq,meansq,statistic,p.value,p.adjusted
C26,RBD+S1+_fraction,CodeID,20,8.784692565323034e-7,4.392346282661517e-8,0.9302753157250456,0.5500331803100998,0.7696665374664515
C26,RBD+S1+_fraction,Residuals,147,6.940686188668905e-6,4.7215552303870105e-8,NA,NA,NA
C27,cluster_fraction_total_CD19+,timepoint,9,5.92220803549367e-4,6.580231150548522e-5,4.3167125199714595,5.333253024088905e-5,9.999849420166696e-5
C27,cluster_fraction_total_CD19+,CodeID,20,0.0017828868752751128,8.914434376375565e-5,5.8479785284984445,4.956284813026871e-11,1.2390712032567177e-10
C27,cluster_fraction_total_CD19+,Residuals,147,0.00224081167012027,1.5243616803539253e-5,NA,NA,NA
C27,RBD+S1+_fraction,timepoint,9,0,0,NA,NA,NA
C27,RBD+S1+_fraction,CodeID,20,0,0,NA,NA,NA
C27,RBD+S1+_fraction,Residuals,147,0,0,NA,NA,NA
C28,cluster_fraction_total_CD19+,timepoint,9,8.118407539907381e-5,9.020452822119313e-6,1.371041236113002,0.20795810611659735,0.23106456235177483
C28,cluster_fraction_total_CD19+,CodeID,20,5.373682363196444e-4,2.686841181598222e-5,4.083797263286679,5.008743490312021e-7,1.0362917566162803e-6
C28,cluster_fraction_total_CD19+,Residuals,127,8.355675075514155e-4,6.579271713003271e-6,NA,NA,NA
C28,RBD+S1+_fraction,timepoint,9,0,0,NA,NA,NA
C28,RBD+S1+_fraction,CodeID,20,0,0,NA,NA,NA
C28,RBD+S1+_fraction,Residuals,127,0,0,NA,NA,NA
C29,cluster_fraction_total_CD19+,timepoint,9,1.3590272045245792e-4,1.5100302272495324e-5,1.0917623475436489,0.37233898223052725,0.3851782574798558
C29,cluster_fraction_total_CD19+,CodeID,20,0.006147550078995582,3.073775039497791e-4,22.223607133055285,8.9827597559875e-35,3.8497541811375e-34
C29,cluster_fraction_total_CD19+,Residuals,147,0.002033175479124194,1.3831125708327848e-5,NA,NA,NA
C29,RBD+S1+_fraction,timepoint,9,4.235388852594573e-4,4.70598761399397e-5,0.9196304756599771,0.5099808180234915,0.7696665374664515
C29,RBD+S1+_fraction,CodeID,20,8.867727449413253e-4,4.433863724706627e-5,0.866452813015988,0.6292752547733472,0.7696665374664515
C29,RBD+S1+_fraction,Residuals,147,0.007522371186760142,5.117259310721185e-5,NA,NA,NA
C30,cluster_fraction_total_CD19+,timepoint,9,7.036908295509789e-4,7.818786995010877e-5,2.062938490323085,0.036797449129924505,0.0479966727781624
C30,cluster_fraction_total_CD19+,CodeID,20,0.0021007985612797636,1.0503992806398818e-4,2.7714134016214853,2.5438925009838037e-4,4.4892220605596535e-4
C30,cluster_fraction_total_CD19+,Residuals,140,0.005306169740088024,3.7901212429200175e-5,NA,NA,NA
C30,RBD+S1+_fraction,timepoint,9,4.233102222998008e-7,4.703446914442231e-8,0.768242377486212,0.6458821074389977,0.7696665374664515
C30,RBD+S1+_fraction,CodeID,20,1.0881411813882532e-6,5.4407059069412664e-8,0.8886633392879495,0.6016342673580388,0.7696665374664515
C30,RBD+S1+_fraction,Residuals,140,8.571286710016598e-6,6.122347650011856e-8,NA,NA,NA
